ID;Expedition;Mode_of_Shipment;Customer_care_calls;Customer_rating;Cost_of_the_Product;Prior_purchases;Product_importance;Gender;Discount_offered;Weight_in_gms;Delay_or_OnTime_Y.N;Province_Code;
6602;JNE;Ship;4;3;3935736;5;low;M;71820;1512;0;12;
6603;SiCepat;Ship;5;5;3533544;5;medium;M;86184;1053;0;32;
6604;TIKI;Ship;5;3;3174444;6;medium;F;43092;1960;1;8;
6605;J&T;Ship;6;3;4237380;4;low;F;143640;1495;0;15;
6606;JNE;Ship;7;4;3720276;4;low;M;86184;1697;0;21;
6607;Ninja Express;Ship;4;4;1982232;3;medium;F;100548;1597;1;33;
6608;JNE;Ship;3;5;3591000;2;low;F;129276;1205;0;30;
6609;SiCepat;Ship;5;1;3389904;6;medium;F;57456;1705;0;21;
6610;TIKI;Ship;5;1;3835188;5;medium;M;143640;1505;0;18;
6611;J&T;Ship;6;4;4065012;4;medium;M;14364;1384;1;9;
6612;JNE;Ship;7;1;3504816;4;low;M;114912;1817;1;15;
6613;Ninja Express;Ship;5;2;3734640;5;low;M;129276;1809;1;18;
6614;JNE;Ship;5;1;3964464;5;medium;M;71820;1358;1;22;
6615;SiCepat;Ship;7;3;4409748;4;low;M;57456;1653;0;13;
6616;TIKI;Ship;6;5;3820824;4;low;M;114912;1709;0;14;
6617;J&T;Ship;5;2;3404268;5;medium;M;86184;1084;0;8;
6618;JNE;Ship;4;4;3605364;6;medium;M;57456;1869;0;19;
6619;Ninja Express;Ship;4;1;3547908;6;low;M;57456;1349;1;12;
6620;JNE;Ship;3;3;4007556;4;low;M;43092;4620;0;19;
6621;SiCepat;Ship;5;5;3303720;3;low;F;143640;5163;0;20;
6622;TIKI;Ship;4;5;3361176;3;low;F;57456;5100;1;18;
6623;J&T;Ship;6;5;2183328;4;medium;F;114912;5351;0;19;
6624;JNE;Ship;3;4;2298240;4;medium;M;129276;4733;1;14;
6625;Ninja Express;Ship;3;2;3777732;3;low;F;43092;5303;0;5;
6626;JNE;Ship;4;1;2355696;3;low;M;57456;5910;0;12;
6627;SiCepat;Ship;3;3;3002076;2;medium;M;14364;5098;1;30;
6628;TIKI;Ship;5;1;3519180;3;low;F;129276;4694;0;24;
6629;J&T;Ship;3;4;2470608;2;low;M;71820;5919;0;7;
6630;JNE;Ship;2;5;2585520;6;medium;F;100548;4907;1;20;
6631;Ninja Express;Ship;3;3;2082780;3;medium;F;114912;4522;0;3;
6632;JNE;Ship;3;4;3562272;3;medium;F;86184;4932;0;2;
6633;SiCepat;Ship;5;4;3476088;3;high;F;57456;4805;0;1;
6634;TIKI;Ship;4;3;3404268;3;medium;F;114912;5045;1;31;
6635;J&T;Ship;4;4;2915892;2;low;F;57456;4793;0;1;
6636;JNE;Ship;3;4;2671704;4;low;M;86184;4403;0;30;
6637;Ninja Express;Ship;4;1;2226420;5;low;F;14364;5986;0;25;
6638;JNE;Ship;3;4;2197692;4;low;M;71820;5604;1;22;
6639;SiCepat;Ship;3;2;2858436;2;medium;M;143640;4659;0;9;
6640;TIKI;Ship;4;5;3145716;3;medium;M;114912;4605;0;11;
6641;J&T;Ship;4;1;2240784;2;low;M;114912;5488;0;16;
6642;JNE;Ship;5;5;1939140;2;low;F;14364;4324;1;14;
6643;Ninja Express;Ship;3;4;3504816;3;medium;M;28728;5389;0;34;
6644;JNE;Ship;5;1;2628612;3;low;F;143640;5023;0;21;
6645;SiCepat;Ship;4;3;3705912;2;low;F;43092;4555;0;18;
6646;TIKI;Ship;6;2;2413152;2;low;M;43092;5853;0;24;
6647;J&T;Ship;5;1;2312604;2;medium;F;143640;4108;1;21;
6648;JNE;Ship;4;2;3533544;2;low;M;28728;4497;1;8;
6649;Ninja Express;Ship;3;3;3332448;4;medium;M;43092;5828;0;9;
6650;JNE;Ship;3;3;2226420;2;medium;F;71820;5577;0;11;
6651;SiCepat;Ship;5;5;2326968;2;medium;M;86184;5868;0;25;
6652;TIKI;Ship;4;3;1766772;4;medium;M;86184;4166;0;31;
6653;J&T;Ship;3;4;3375540;2;low;F;143640;4575;0;2;
6654;JNE;Ship;5;1;2571156;2;low;F;43092;5417;0;9;
6655;Ninja Express;Ship;3;5;2901528;2;medium;M;43092;5746;1;21;
6656;JNE;Ship;4;5;3907008;2;medium;F;14364;5378;0;11;
6657;SiCepat;Ship;4;2;2657340;3;medium;M;14364;5338;0;33;
6658;TIKI;Ship;3;3;2700432;2;medium;F;28728;4336;0;34;
6659;J&T;Ship;3;2;3591000;4;low;F;43092;5449;1;4;
6660;JNE;Ship;5;3;3217536;4;low;M;100548;4553;0;1;
6661;Ninja Express;Ship;4;1;3749004;3;low;F;143640;5943;0;25;
6662;JNE;Ship;3;1;2872800;2;medium;M;114912;4337;0;18;
6663;SiCepat;Ship;4;1;2872800;4;medium;M;43092;5837;0;20;
6664;TIKI;Ship;2;1;2054052;3;low;M;57456;4512;0;12;
6665;J&T;Ship;3;4;2858436;3;low;M;100548;5089;0;26;
6666;JNE;Ship;4;5;2255148;3;medium;M;28728;5791;1;23;
6667;Ninja Express;Ship;3;2;3231900;3;high;M;71820;4304;1;20;
6668;JNE;Ship;3;3;2183328;2;medium;M;43092;4193;1;16;
6669;SiCepat;Ship;4;4;3389904;2;medium;F;86184;5101;1;23;
6670;TIKI;Ship;3;1;3820824;5;low;M;14364;5459;0;22;
6671;J&T;Ship;3;2;3490452;4;medium;M;57456;4410;1;16;
6672;JNE;Ship;4;5;3217536;6;high;F;71820;5659;1;2;
6673;Ninja Express;Ship;3;5;2197692;4;low;F;143640;5897;0;13;
6674;JNE;Ship;4;2;3332448;3;medium;F;100548;5737;1;7;
6675;SiCepat;Ship;3;3;3634092;3;medium;M;71820;4754;1;20;
6676;TIKI;Ship;3;3;2154600;3;low;M;71820;5328;0;1;
6677;J&T;Ship;4;3;2844072;2;low;M;71820;5724;1;30;
6678;JNE;Ship;4;4;3318084;3;low;M;129276;4305;1;10;
6679;Ninja Express;Ship;3;5;1939140;2;medium;F;129276;5614;1;9;
6680;JNE;Ship;5;4;2197692;3;low;M;71820;4711;1;14;
6681;SiCepat;Ship;4;2;2887164;2;low;M;43092;4869;1;13;
6682;TIKI;Ship;4;4;3921372;2;medium;M;86184;5676;1;12;
6683;J&T;Ship;5;4;3519180;3;high;M;57456;4298;0;24;
6684;JNE;Ship;4;4;2255148;2;low;M;129276;4491;1;10;
6685;Ninja Express;Ship;4;3;2154600;2;high;F;114912;4965;1;17;
6686;JNE;Ship;3;3;3490452;2;low;M;43092;4675;1;21;
6687;SiCepat;Road;4;5;1508220;5;high;M;57456;5824;1;6;
6688;TIKI;Road;5;4;3174444;5;low;M;86184;5059;0;17;
6689;J&T;Road;3;1;3389904;6;medium;F;143640;4858;0;33;
6690;JNE;Road;4;4;3777732;3;medium;M;71820;4193;0;9;
6691;Ninja Express;Road;3;3;3059532;2;low;M;143640;5495;0;3;
6692;JNE;Road;6;1;3720276;3;low;F;43092;5683;0;9;
6693;SiCepat;Road;4;2;2729160;3;medium;M;100548;4766;0;21;
6694;TIKI;Road;3;5;3059532;4;medium;M;129276;5550;1;33;
6695;J&T;Road;5;3;3749004;4;medium;F;71820;4623;1;12;
6696;JNE;Road;3;5;3648456;3;medium;M;71820;4946;0;22;
6697;Ninja Express;Road;3;4;2168964;4;medium;F;14364;4587;1;13;
6698;JNE;Road;5;1;2686068;4;medium;F;129276;5657;1;30;
6699;SiCepat;Road;4;5;1996596;2;medium;F;14364;4606;0;17;
6700;TIKI;Road;5;2;2484972;2;high;F;143640;4741;0;28;
6701;J&T;Road;3;3;1953504;3;low;M;143640;5175;0;16;
6702;JNE;Road;4;1;3907008;4;high;M;14364;5597;0;19;
6703;Ninja Express;Road;6;4;1666224;3;low;M;86184;4649;0;29;
6704;JNE;Road;4;2;2599884;3;low;M;143640;4212;1;13;
6705;SiCepat;Road;5;3;3303720;3;medium;M;57456;4914;1;8;
6706;TIKI;Road;2;5;1824228;3;medium;F;43092;5964;0;4;
6707;J&T;Road;3;1;2614248;3;low;M;28728;5760;0;28;
6708;JNE;Road;3;1;2671704;2;medium;F;100548;4556;0;8;
6709;Ninja Express;Flight;5;1;3892644;4;low;M;43092;4610;1;20;
6710;JNE;Flight;5;3;2456244;2;medium;F;14364;5385;1;10;
6711;SiCepat;Flight;4;3;3418632;2;medium;F;28728;5328;0;10;
6712;TIKI;Flight;4;4;2642976;3;low;M;114912;4453;1;26;
6713;J&T;Flight;5;2;3073896;2;low;F;114912;4767;0;24;
6714;JNE;Flight;4;4;4007556;6;medium;M;71820;4898;1;6;
6715;Ninja Express;Flight;3;2;2413152;4;low;F;14364;4184;1;13;
6716;JNE;Flight;6;4;3174444;5;medium;M;114912;4511;1;18;
6717;SiCepat;Flight;3;5;3734640;3;medium;M;100548;5379;1;20;
6718;TIKI;Flight;4;3;2930256;3;medium;M;28728;5010;0;11;
6719;J&T;Flight;4;2;2039688;3;medium;F;86184;4918;0;34;
6720;JNE;Flight;4;3;2556792;3;medium;M;43092;5669;0;25;
6721;Ninja Express;Flight;2;1;2915892;3;medium;M;86184;4234;0;15;
6722;JNE;Flight;4;2;2585520;4;medium;M;129276;4329;0;27;
6723;SiCepat;Flight;4;4;2772252;3;medium;F;43092;4596;0;25;
6724;TIKI;Flight;5;4;1422036;2;high;F;57456;4259;0;15;
6725;J&T;Flight;3;1;3591000;3;low;M;14364;4347;0;20;
6726;JNE;Flight;4;1;2183328;3;medium;F;43092;4250;1;33;
6727;Ninja Express;Flight;4;1;3806460;2;low;F;143640;5418;1;22;
6728;JNE;Flight;2;3;3246264;2;medium;M;28728;4566;0;29;
6729;SiCepat;Flight;3;3;3361176;3;low;M;43092;4405;0;16;
6730;TIKI;Flight;4;3;3231900;2;high;F;57456;4732;0;22;
6731;J&T;Ship;3;5;2312604;2;medium;M;129276;4623;0;27;
6732;JNE;Ship;5;2;3533544;3;medium;F;143640;5110;0;10;
6733;Ninja Express;Ship;4;5;2326968;3;medium;F;143640;4850;1;3;
6734;JNE;Ship;4;4;1939140;3;medium;M;28728;5016;0;5;
6735;SiCepat;Ship;4;3;2887164;2;low;F;143640;4875;0;9;
6736;TIKI;Ship;6;4;3375540;6;low;M;14364;5533;1;32;
6737;J&T;Ship;5;2;3073896;2;low;F;143640;5192;0;8;
6738;JNE;Ship;6;3;3519180;5;medium;F;114912;5678;1;4;
6739;Ninja Express;Ship;5;5;2757888;2;low;M;143640;5564;0;28;
6740;JNE;Ship;5;5;2571156;5;low;M;43092;4333;1;31;
6741;SiCepat;Ship;6;3;3016440;4;medium;M;129276;5440;0;1;
6742;TIKI;Ship;3;2;3002076;2;medium;F;28728;4635;0;25;
6743;J&T;Ship;4;2;2872800;3;medium;M;100548;4323;0;26;
6744;JNE;Ship;6;3;2370060;5;medium;M;71820;4871;0;21;
6745;Ninja Express;Ship;3;5;2413152;3;medium;M;100548;4296;0;5;
6746;JNE;Ship;4;4;2915892;2;low;F;143640;5192;0;29;
6747;SiCepat;Ship;4;5;2901528;3;medium;M;114912;5416;0;2;
6748;TIKI;Ship;4;2;3820824;3;medium;F;28728;5252;1;8;
6749;J&T;Ship;2;1;3562272;6;low;F;28728;5182;0;32;
6750;JNE;Ship;5;3;2484972;3;low;M;71820;5395;0;7;
6751;Ninja Express;Ship;2;4;2240784;3;medium;F;114912;5668;1;29;
6752;JNE;Ship;3;5;1565676;2;high;M;28728;5978;1;4;
6753;SiCepat;Ship;3;4;3591000;3;low;M;86184;4830;1;3;
6754;TIKI;Ship;2;4;2800980;4;medium;M;43092;5641;1;19;
6755;J&T;Ship;4;1;2298240;5;low;F;143640;4018;1;15;
6756;JNE;Ship;2;5;2714796;3;low;F;71820;5320;0;30;
6757;Ninja Express;Ship;4;3;3432996;3;medium;M;129276;5897;1;6;
6758;JNE;Ship;3;3;2930256;2;medium;F;71820;5399;0;10;
6759;SiCepat;Ship;4;5;2240784;3;low;M;71820;4610;0;23;
6760;TIKI;Ship;5;2;2757888;3;high;F;100548;5695;1;2;
6761;J&T;Ship;4;2;3346812;2;low;M;100548;5546;1;19;
6762;JNE;Ship;5;3;3634092;3;low;F;43092;5944;1;22;
6763;Ninja Express;Ship;2;1;3978828;6;low;M;143640;4165;0;11;
6764;JNE;Ship;4;2;3030804;2;low;F;129276;5883;1;34;
6765;SiCepat;Ship;6;4;2470608;6;medium;F;143640;5554;1;22;
6766;TIKI;Ship;5;4;3030804;4;low;F;57456;4498;1;7;
6767;J&T;Ship;2;3;3562272;4;high;F;28728;4521;0;6;
6768;JNE;Ship;3;4;2528064;3;medium;M;57456;5623;0;14;
6769;Ninja Express;Ship;4;1;1436400;6;medium;M;86184;5841;0;27;
6770;JNE;Ship;5;5;2800980;4;low;F;14364;4393;1;17;
6771;SiCepat;Ship;3;2;1967868;3;low;F;57456;5617;0;15;
6772;TIKI;Ship;4;4;2800980;4;medium;M;28728;5464;0;24;
6773;J&T;Ship;2;5;2657340;3;low;F;129276;5810;0;31;
6774;JNE;Ship;3;1;3591000;2;medium;F;129276;4753;0;6;
6775;Ninja Express;Ship;3;2;2154600;3;low;M;28728;4660;1;7;
6776;JNE;Ship;3;1;2384424;3;medium;F;129276;4251;0;26;
6777;SiCepat;Ship;4;5;3691548;2;medium;M;71820;4127;0;20;
6778;TIKI;Ship;5;1;3576636;3;medium;F;71820;4392;0;29;
6779;J&T;Ship;5;5;3849552;3;medium;F;100548;4480;1;14;
6780;JNE;Ship;4;4;3921372;3;low;F;43092;5749;1;24;
6781;Ninja Express;Ship;5;5;3533544;3;medium;F;129276;4107;0;9;
6782;JNE;Ship;5;1;2039688;6;medium;M;14364;4843;1;13;
6783;SiCepat;Ship;5;2;2413152;2;low;M;86184;5464;1;18;
6784;TIKI;Ship;5;2;3576636;3;low;M;129276;5978;1;14;
6785;J&T;Ship;3;1;3160080;3;medium;F;86184;5319;0;4;
6786;JNE;Ship;4;3;2714796;2;low;F;100548;4765;0;18;
6787;Ninja Express;Ship;5;2;3404268;4;low;M;71820;5623;1;19;
6788;JNE;Ship;4;4;3547908;3;high;F;28728;5324;1;5;
6789;SiCepat;Ship;3;4;3591000;6;medium;M;14364;4543;1;24;
6790;TIKI;Ship;4;4;2973348;10;low;F;14364;4602;0;19;
6791;J&T;Ship;4;4;2887164;10;low;M;43092;4202;0;4;
6792;JNE;Ship;4;2;2039688;2;low;M;86184;5326;0;12;
6793;Ninja Express;Ship;3;1;2973348;2;low;M;100548;4639;0;14;
6794;JNE;Ship;3;1;3073896;2;high;F;143640;4310;0;23;
6795;SiCepat;Ship;4;3;1924776;10;medium;M;114912;4337;0;20;
6796;TIKI;Ship;3;4;2556792;8;medium;F;86184;4146;0;33;
6797;J&T;Ship;4;1;2671704;2;low;M;57456;4686;1;25;
6798;JNE;Ship;4;4;3591000;3;low;M;143640;4505;0;16;
6799;Ninja Express;Ship;4;3;2470608;3;medium;F;143640;5434;0;17;
6800;JNE;Ship;3;4;3806460;10;low;M;143640;4049;0;5;
6801;SiCepat;Ship;3;2;2269512;7;medium;M;143640;4244;1;23;
6802;TIKI;Ship;3;1;2585520;7;medium;M;143640;5536;0;33;
6803;J&T;Ship;4;2;2484972;3;high;F;43092;5364;0;29;
6804;JNE;Ship;3;3;2197692;10;medium;M;143640;5772;0;27;
6805;Ninja Express;Ship;4;4;2614248;3;high;F;100548;5197;0;24;
6806;JNE;Ship;3;1;2757888;3;low;F;129276;5004;0;12;
6807;SiCepat;Ship;6;5;4093740;7;medium;M;129276;4112;0;5;
6808;TIKI;Ship;3;3;2168964;6;low;F;86184;4279;0;2;
6809;J&T;Ship;3;3;3476088;2;low;F;100548;4501;0;4;
6810;JNE;Ship;3;1;3404268;3;medium;F;57456;5860;0;20;
6811;Ninja Express;Ship;5;2;3720276;5;low;F;100548;1032;0;22;
6812;JNE;Ship;4;3;3576636;6;low;M;28728;1046;1;7;
6813;SiCepat;Ship;6;3;4151196;4;high;F;71820;1708;0;4;
6814;TIKI;Ship;6;3;4424112;5;medium;F;57456;1118;0;12;
6815;J&T;Ship;6;3;4266108;4;medium;M;28728;1954;0;3;
6816;JNE;Ship;4;1;3662820;5;low;F;57456;1005;0;27;
6817;Ninja Express;Ship;6;1;3820824;4;low;M;129276;1287;0;27;
6818;JNE;Ship;7;2;4337928;4;low;M;86184;1632;0;25;
6819;SiCepat;Ship;4;5;3203172;5;medium;F;86184;1579;1;7;
6820;TIKI;Ship;6;5;3749004;4;low;F;129276;1266;1;13;
6821;J&T;Ship;4;4;3921372;5;low;M;143640;1316;0;33;
6822;JNE;Ship;6;3;3734640;4;low;M;129276;1131;1;13;
6823;Ninja Express;Ship;5;2;3820824;5;low;F;14364;1504;1;31;
6824;JNE;Road;2;1;2355696;5;low;M;57456;1708;0;31;
6825;SiCepat;Road;5;3;3447360;6;medium;F;43092;1321;0;30;
6826;TIKI;Road;6;3;4381020;4;medium;F;129276;1479;1;20;
6827;J&T;Road;5;4;3562272;5;low;F;43092;1471;1;25;
6828;JNE;Road;7;3;4007556;4;medium;M;114912;1060;0;10;
6829;Ninja Express;Road;5;4;3504816;6;low;F;143640;1978;1;12;
6830;JNE;Road;5;4;3835188;5;low;M;129276;1017;0;25;
6831;SiCepat;Road;7;1;3950100;4;medium;M;100548;1754;0;17;
6832;TIKI;Road;5;1;2413152;2;low;F;143640;4240;0;5;
6833;J&T;Road;5;2;3576636;3;low;M;28728;4696;0;5;
6834;JNE;Road;3;2;3160080;3;medium;M;100548;4555;1;28;
6835;Ninja Express;Road;4;4;2714796;2;low;M;71820;4553;0;1;
6836;JNE;Road;5;2;3404268;4;low;F;129276;5922;0;10;
6837;SiCepat;Road;4;3;3547908;3;high;F;14364;5214;0;14;
6838;TIKI;Road;3;3;3591000;6;medium;M;129276;5322;1;19;
6839;J&T;Road;4;3;2973348;10;low;F;129276;4179;0;32;
6840;JNE;Road;4;5;2887164;10;low;F;100548;5340;0;7;
6841;Ninja Express;Road;4;5;2039688;2;low;M;28728;4472;0;9;
6842;JNE;Road;3;4;2973348;2;low;M;86184;5852;1;5;
6843;SiCepat;Road;3;2;3073896;2;high;F;100548;4938;0;4;
6844;TIKI;Road;4;5;1924776;10;medium;M;71820;4244;0;2;
6845;J&T;Road;3;3;2556792;8;medium;M;114912;4774;1;11;
6846;JNE;Flight;4;2;2671704;2;low;M;28728;5604;1;25;
6847;Ninja Express;Flight;4;2;3591000;3;low;M;71820;4488;1;13;
6848;JNE;Flight;4;1;2470608;3;medium;F;143640;5106;1;19;
6849;SiCepat;Flight;3;5;3806460;10;low;M;86184;4380;0;27;
6850;TIKI;Flight;3;1;2269512;7;medium;F;86184;4166;0;4;
6851;J&T;Flight;3;3;2585520;7;medium;F;57456;5068;1;21;
6852;JNE;Flight;4;1;2484972;3;high;M;14364;5749;0;2;
6853;Ninja Express;Flight;3;4;2197692;10;medium;F;57456;5456;1;7;
6854;JNE;Flight;4;3;2614248;3;high;F;43092;5624;0;17;
6855;SiCepat;Flight;3;5;2757888;3;low;F;100548;4056;1;26;
6856;TIKI;Flight;6;3;4093740;7;medium;M;100548;5030;1;17;
6857;J&T;Flight;3;5;2168964;6;low;M;114912;4692;1;2;
6858;JNE;Flight;3;5;3476088;2;low;M;14364;5803;1;15;
6859;Ninja Express;Flight;3;1;3404268;3;medium;F;14364;4476;1;30;
6860;JNE;Flight;5;4;3720276;5;low;M;143640;1177;0;19;
6861;SiCepat;Flight;4;2;3576636;6;low;F;129276;1673;1;27;
6862;TIKI;Flight;6;4;4151196;4;high;F;57456;1822;0;27;
6863;J&T;Flight;6;2;4424112;5;medium;M;57456;1303;0;3;
6864;JNE;Flight;6;3;4266108;4;medium;M;14364;1080;0;23;
6865;Ninja Express;Flight;4;3;3662820;5;low;M;14364;1192;0;15;
6866;JNE;Flight;6;3;3820824;4;low;F;129276;1876;0;1;
6867;SiCepat;Flight;7;1;4337928;4;low;M;57456;1647;0;17;
6868;TIKI;Ship;4;4;3203172;5;medium;M;14364;1124;1;22;
6869;J&T;Ship;6;4;3749004;4;low;F;71820;1794;1;19;
6870;JNE;Ship;4;2;3921372;5;low;F;57456;1223;1;26;
6871;Ninja Express;Ship;6;3;3734640;4;low;F;143640;1140;0;12;
6872;JNE;Ship;5;2;3820824;5;low;F;143640;1274;1;20;
6873;SiCepat;Ship;2;3;2355696;5;low;M;100548;1243;0;2;
6874;TIKI;Ship;5;2;3447360;6;medium;F;28728;1852;1;17;
6875;J&T;Ship;6;5;4381020;4;medium;F;129276;1072;0;14;
6876;JNE;Ship;5;2;3562272;5;low;M;57456;1284;1;4;
6877;Ninja Express;Ship;7;2;4007556;4;medium;M;71820;1210;0;27;
6878;JNE;Ship;5;2;3504816;6;low;M;71820;1702;1;5;
6879;SiCepat;Ship;5;1;3404268;5;medium;F;28728;1429;1;20;
6880;TIKI;Ship;4;2;3605364;6;medium;F;14364;1154;1;15;
6881;J&T;Ship;4;4;3547908;6;low;F;57456;1044;0;3;
6882;JNE;Ship;5;2;3763368;6;medium;F;57456;1532;1;30;
6883;Ninja Express;Ship;5;3;3203172;5;medium;M;143640;1170;1;33;
6884;JNE;Ship;5;5;3950100;5;low;F;43092;1145;0;20;
6885;SiCepat;Ship;6;3;1996596;6;medium;F;114912;1284;1;8;
6886;TIKI;Ship;4;3;3519180;6;low;F;43092;1155;0;8;
6887;J&T;Ship;6;3;3993192;4;high;F;43092;1033;0;29;
6888;JNE;Ship;5;3;3490452;5;low;M;28728;1776;1;1;
6889;Ninja Express;Ship;7;3;4438476;4;low;F;14364;1290;1;29;
6890;JNE;Ship;6;2;4007556;4;low;M;14364;1150;1;21;
6891;SiCepat;Ship;6;3;3547908;4;medium;M;43092;1903;0;20;
6892;TIKI;Ship;5;1;3375540;5;medium;F;86184;1059;1;7;
6893;J&T;Ship;5;5;3849552;5;medium;F;143640;1906;0;23;
6894;JNE;Ship;6;1;4438476;4;medium;M;129276;1305;0;24;
6895;Ninja Express;Ship;6;5;4424112;4;low;M;28728;1125;1;6;
6896;JNE;Ship;5;5;3404268;5;high;F;28728;1593;1;29;
6897;SiCepat;Ship;6;2;4179924;4;low;M;129276;1241;1;11;
6898;TIKI;Ship;4;2;3792096;5;medium;F;86184;1736;1;12;
6899;J&T;Ship;2;2;3045168;4;medium;F;43092;1284;1;32;
6900;JNE;Ship;4;5;2815344;4;low;M;143640;1694;1;22;
6901;Ninja Express;Ship;5;5;3734640;5;low;F;86184;1860;0;9;
6902;JNE;Ship;6;5;3820824;4;low;F;86184;1201;0;12;
6903;SiCepat;Ship;5;2;3648456;5;high;M;86184;1491;1;6;
6904;TIKI;Ship;5;2;3576636;5;low;F;114912;1018;1;6;
6905;J&T;Ship;6;5;4007556;4;medium;M;100548;1300;0;3;
6906;JNE;Ship;6;3;4395384;4;high;F;71820;1261;1;30;
6907;Ninja Express;Ship;4;5;3576636;5;medium;M;43092;1530;1;31;
6908;JNE;Ship;6;4;4266108;4;low;F;129276;1249;1;10;
6909;SiCepat;Ship;6;1;3921372;4;low;M;86184;1561;0;4;
6910;TIKI;Ship;6;4;4294836;4;low;F;129276;1817;0;11;
6911;J&T;Ship;5;5;3447360;5;medium;M;143640;1574;1;33;
6912;JNE;Ship;5;4;3734640;6;low;F;28728;1765;0;2;
6913;Ninja Express;Ship;5;1;3605364;5;low;F;100548;1924;1;18;
6914;JNE;Ship;5;5;3677184;5;medium;M;28728;1693;1;25;
6915;SiCepat;Ship;5;2;3246264;5;medium;M;71820;1659;0;13;
6916;TIKI;Ship;5;3;3763368;5;low;F;143640;1197;1;4;
6917;J&T;Ship;7;4;3749004;5;low;M;86184;1334;0;27;
6918;JNE;Ship;2;2;2599884;2;low;F;86184;1324;1;33;
6919;Ninja Express;Ship;6;1;3648456;4;medium;F;86184;1928;1;21;
6920;JNE;Ship;6;1;4136832;4;medium;M;114912;1806;1;23;
6921;SiCepat;Ship;6;3;3519180;4;low;M;143640;1798;0;15;
6922;TIKI;Ship;5;3;3619728;2;medium;M;129276;1809;0;6;
6923;J&T;Ship;4;1;4208652;3;low;M;114912;1326;1;29;
6924;JNE;Ship;5;3;3634092;4;low;M;129276;1729;0;29;
6925;Ninja Express;Ship;6;1;3519180;4;low;F;143640;1606;0;2;
6926;JNE;Ship;6;4;3547908;4;medium;M;43092;1946;0;24;
6927;SiCepat;Ship;5;4;3935736;5;low;M;100548;1371;1;23;
6928;TIKI;Ship;6;4;4065012;4;low;F;114912;1480;0;11;
6929;J&T;Ship;6;4;4108104;4;low;F;114912;1690;1;20;
6930;JNE;Ship;5;4;3691548;5;low;M;143640;1695;1;26;
6931;Ninja Express;Ship;5;2;3705912;5;low;F;28728;1232;1;16;
6932;JNE;Ship;4;2;2887164;3;medium;F;86184;5616;1;11;
6933;SiCepat;Ship;3;1;3318084;3;low;M;14364;5392;1;33;
6934;TIKI;Ship;4;5;2312604;2;high;F;71820;5133;1;4;
6935;J&T;Ship;5;1;3591000;3;low;M;114912;5845;0;1;
6936;JNE;Ship;4;2;2427516;6;low;F;86184;4179;0;23;
6937;Ninja Express;Ship;4;4;2743524;2;low;M;14364;4318;1;24;
6938;JNE;Ship;4;2;3892644;3;medium;F;57456;4186;1;14;
6939;SiCepat;Ship;5;4;3892644;3;low;M;43092;5218;1;13;
6940;TIKI;Ship;4;2;3217536;3;low;M;14364;5821;0;30;
6941;J&T;Ship;3;5;3964464;5;low;F;143640;5302;1;4;
6942;JNE;Ship;4;1;3792096;2;low;F;43092;5258;0;20;
6943;Ninja Express;Ship;5;2;2657340;3;low;M;143640;4354;0;31;
6944;JNE;Ship;3;3;3634092;2;low;M;71820;4112;1;13;
6945;SiCepat;Ship;3;5;2226420;4;low;F;14364;4432;1;25;
6946;TIKI;Ship;4;1;3145716;3;low;F;71820;5632;0;15;
6947;J&T;Ship;3;2;2930256;4;medium;M;100548;4768;0;24;
6948;JNE;Ship;4;1;2815344;4;low;F;43092;5496;0;7;
6949;Ninja Express;Ship;3;4;2944620;5;low;F;57456;4483;0;18;
6950;JNE;Ship;3;4;2686068;3;low;F;129276;4725;1;34;
6951;SiCepat;Ship;3;1;3174444;2;medium;F;86184;5267;0;6;
6952;TIKI;Ship;5;4;2054052;3;medium;F;14364;5165;1;34;
6953;J&T;Ship;5;3;1939140;3;high;M;57456;5858;0;22;
6954;JNE;Ship;3;1;2973348;2;low;F;100548;5596;0;22;
6955;Ninja Express;Ship;3;2;3519180;2;low;F;100548;4692;0;12;
6956;JNE;Ship;5;2;3691548;3;low;F;28728;4677;1;27;
6957;SiCepat;Ship;3;1;2671704;3;high;F;14364;5694;1;12;
6958;TIKI;Ship;5;2;3533544;3;low;M;28728;4054;1;22;
6959;J&T;Ship;3;4;3662820;2;low;M;28728;4504;0;4;
6960;JNE;Ship;5;3;2958984;3;low;F;14364;4645;0;32;
6961;Ninja Express;Road;3;1;2556792;4;medium;M;129276;4298;0;6;
6962;JNE;Road;5;2;3935736;2;low;F;71820;4154;0;1;
6963;SiCepat;Road;3;1;3863916;4;low;F;100548;5107;0;8;
6964;TIKI;Road;5;1;4050648;4;low;F;129276;4766;0;31;
6965;J&T;Road;2;4;1551312;5;high;M;71820;4874;1;29;
6966;JNE;Road;4;5;3849552;6;medium;F;100548;4709;0;8;
6967;Ninja Express;Road;2;3;3088260;2;medium;F;43092;5052;1;11;
6968;JNE;Road;4;1;2427516;4;low;M;14364;5323;0;7;
6969;SiCepat;Road;3;4;2370060;3;low;F;57456;4482;0;3;
6970;TIKI;Road;4;4;2757888;4;low;F;28728;5856;1;24;
6971;J&T;Road;4;3;2958984;2;low;M;129276;5076;1;24;
6972;JNE;Road;3;5;2168964;2;medium;M;114912;4408;1;25;
6973;Ninja Express;Road;3;4;2154600;3;low;F;71820;4950;0;29;
6974;JNE;Road;4;3;3591000;3;low;M;143640;4316;0;4;
